110,Cancer and arthritis,$20.20,Senior Care
1,Whole Life Policy,$84.53,Unit Linked Insurance Plans
2,Endowment Plans,$97.56,Unit Linked Insurance Plans
3,Term Life Insurance,$53.12,Term Life Insurance
4,Term Life Insurance,$57.06,Personal Injury Protection
5,Collision Coverage,$100.19,Liability Coverage
6,Whole Life Policy,$86.35,Endowment Plans
7,Whole Life Policy,$95.84,Comprehensive Coverage
8,Comprehensive Coverage,$66.05,Collision Coverage
9,Personal Injury Protection,$56.25,Comprehensive Coverage
10,Collision Coverage,$69.08,Unit Linked Insurance Plans
11,Term Life Insurance,$31.31,Unit Linked Insurance Plans
12,Medical Payments Coverage,$90.09,Unit Linked Insurance Plans
13,Term Life Insurance,$50.39,Term Life Insurance
14,Personal Injury Protection,$46.05,Comprehensive Coverage
15,Endowment Plans,$67.46,Whole Life Policy
16,Endowment Plans,$94.43,Whole Life Policy
17,Collision Coverage,$27.67,Unit Linked Insurance Plans
18,Collision Coverage,$21.51,Motorist Coverage
19,Term Life Insurance,$83.42,Term Life Insurance
20,Collision Coverage,$28.58,Whole Life Policy
21,Liability Coverage,$85.04,Endowment Plans
22,Endowment Plans,$24.54,Unit Linked Insurance Plans
23,Medical Payments Coverage,$43.93,Personal Injury Protection
24,Collision Coverage,$31.00,Liability Coverage
25,Collision Coverage,$64.43,Medical Payments Coverage
26,Collision Coverage,$43.22,Whole Life Policy
27,Unit Linked Insurance Plans,$61.20,Motorist Coverage
28,Endowment Plans,$60.60,Personal Injury Protection
29,Unit Linked Insurance Plans,$93.72,Whole Life Policy
30,Unit Linked Insurance Plans,$50.29,Endowment Plans
31,Collision Coverage,$90.90,Endowment Plans
32,Unit Linked Insurance Plans,$39.79,Medical Payments Coverage
33,Personal Injury Protection,$44.64,Medical Payments Coverage
34,Unit Linked Insurance Plans,$98.07,Liability Coverage
35,Endowment Plans,$59.89,Endowment Plans
36,Whole Life Policy,$53.42,Medical Payments Coverage
37,Personal Injury Protection,$30.70,Term Life Insurance
38,Collision Coverage,$50.50,Comprehensive Coverage
39,Motorist Coverage,$83.72,Comprehensive Coverage
40,Whole Life Policy,$63.83,Collision Coverage
41,Motorist Coverage,$58.47,Comprehensive Coverage
42,Medical Payments Coverage,$51.61,Personal Injury Protection
43,Motorist Coverage,$57.97,Collision Coverage
45,Personal Injury Protection,$37.87,Comprehensive Coverage
46,Medical Payments Coverage,$65.34,Motorist Coverage
47,Term Life Insurance,$36.05,Endowment Plans
48,Term Life Insurance,$36.36,Medical Payments Coverage
49,Personal Injury Protection,$61.71,Medical Payments Coverage
50,Collision Coverage,$38.17,Whole Life Policy
44,All drugs registered,$200.01,Premium Drug Coverage
